Age (years),Probability of dying between ages x and x + 1,Number surviving to age x,Number dying between ages x and x + 1,Person-years lived between ages x and x + 1,Total number of person-years lived above age x,Expectation of life at age x,,"Table 1. Life table for the total population: United States, 2009","SOURCE: CDC/NCHS, National Vital Statistics System."
0-1,0.006372,"100,000",637,"99,444","7,846,926",78.5,,,
1-2,0.000407,"99,363",40,"99,343","7,747,481",78,,,
2-3,0.000274,"99,322",27,"99,309","7,648,139",77,,,
3-4,0.000209,"99,295",21,"99,285","7,548,830",76,,,
4-5,0.00016,"99,274",16,"99,266","7,449,545",75,,,
5-6,0.00015,"99,259",15,"99,251","7,350,279",74.1,,,
6-7,0.000135,"99,244",13,"99,237","7,251,028",73.1,,,
7-8,0.000122,"99,230",12,"99,224","7,151,791",72.1,,,
8-9,0.000109,"99,218",11,"99,213","7,052,566",71.1,,,
9-10,0.000095,"99,207",9,"99,203","6,953,354",70.1,,,
10-11,0.000087,"99,198",9,"99,194","6,854,151",69.1,,,
11-12,0.000093,"99,189",9,"99,185","6,754,957",68.1,,,
12-13,0.000127,"99,180",13,"99,174","6,655,773",67.1,,,
13-14,0.000193,"99,167",19,"99,158","6,556,599",66.1,,,
14-15,0.000279,"99,148",28,"99,134","6,457,441",65.1,,,
15-16,0.00037,"99,121",37,"99,102","6,358,307",64.1,,,
16-17,0.000454,"99,084",45,"99,061","6,259,205",63.2,,,
17-18,0.000537,"99,039",53,"99,012","6,160,143",62.2,,,
18-19,0.000615,"98,986",61,"98,955","6,061,131",61.2,,,
19-20,0.000691,"98,925",68,"98,891","5,962,175",60.3,,,
20-21,0.000771,"98,857",76,"98,818","5,863,285",59.3,,,
21-22,0.000848,"98,780",84,"98,739","5,764,466",58.4,,,
22-23,0.000903,"98,697",89,"98,652","5,665,728",57.4,,,
23-24,0.000929,"98,608",92,"98,562","5,567,076",56.5,,,
24-25,0.000934,"98,516",92,"98,470","5,468,514",55.5,,,
25-26,0.000932,"98,424",92,"98,378","5,370,044",54.6,,,
26-27,0.000935,"98,332",92,"98,286","5,271,666",53.6,,,
27-28,0.000943,"98,240",93,"98,194","5,173,380",52.7,,,
28-29,0.000959,"98,148",94,"98,100","5,075,186",51.7,,,
29-30,0.000985,"98,053",97,"98,005","4,977,086",50.8,,,
30-31,0.001017,"97,957",100,"97,907","4,879,081",49.8,,,
31-32,0.001053,"97,857",103,"97,806","4,781,173",48.9,,,
32-33,0.001095,"97,754",107,"97,701","4,683,368",47.9,,,
33-34,0.001143,"97,647",112,"97,591","4,585,667",47,,,
34-35,0.001195,"97,536",117,"97,477","4,488,076",46,,,
35-36,0.001257,"97,419",122,"97,358","4,390,598",45.1,,,
36-37,0.001332,"97,297",130,"97,232","4,293,241",44.1,,,
37-38,0.00142,"97,167",138,"97,098","4,196,009",43.2,,,
38-39,0.001522,"97,029",148,"96,955","4,098,911",42.2,,,
39-40,0.001643,"96,881",159,"96,802","4,001,956",41.3,,,
40-41,0.001777,"96,722",172,"96,636","3,905,154",40.4,,,
41-42,0.001932,"96,550",186,"96,457","3,808,518",39.4,,,
42-43,0.002116,"96,364",204,"96,262","3,712,061",38.5,,,
43-44,0.00233,"96,160",224,"96,048","3,615,799",37.6,,,
44-45,0.002563,"95,936",246,"95,813","3,519,751",36.7,,,
45-46,0.002795,"95,690",267,"95,556","3,423,938",35.8,,,
46-47,0.003033,"95,422",289,"95,278","3,328,382",34.9,,,
47-48,0.003299,"95,133",314,"94,976","3,233,105",34,,,
48-49,0.003608,"94,819",342,"94,648","3,138,128",33.1,,,
49-50,0.003956,"94,477",374,"94,290","3,043,480",32.2,,,
50-51,0.004337,"94,103",408,"93,899","2,949,190",31.3,,,
51-52,0.004728,"93,695",443,"93,474","2,855,291",30.5,,,
52-53,0.005118,"93,252",477,"93,014","2,761,817",29.6,,,
53-54,0.005496,"92,775",510,"92,520","2,668,804",28.8,,,
54-55,0.005874,"92,265",542,"91,994","2,576,284",27.9,,,
55-56,0.006277,"91,723",576,"91,435","2,484,290",27.1,,,
56-57,0.006724,"91,147",613,"90,841","2,392,854",26.3,,,
57-58,0.007216,"90,534",653,"90,208","2,302,013",25.4,,,
58-59,0.007759,"89,881",697,"89,532","2,211,806",24.6,,,
59-60,0.008349,"89,184",745,"88,812","2,122,273",23.8,,,
60-61,0.008986,"88,439",795,"88,042","2,033,462",23,,,
61-62,0.009671,"87,645",848,"87,221","1,945,420",22.2,,,
62-63,0.010415,"86,797",904,"86,345","1,858,199",21.4,,,
63-64,0.011237,"85,893",965,"85,410","1,771,854",20.6,,,
64-65,0.012164,"84,928","1,033","84,411","1,686,444",19.9,,,
65-66,0.013241,"83,895","1,111","83,339","1,602,032",19.1,,,
66-67,0.014457,"82,784","1,197","82,185","1,518,693",18.3,,,
67-68,0.01575,"81,587","1,285","80,945","1,436,508",17.6,,,
68-69,0.017081,"80,302","1,372","79,616","1,355,563",16.9,,,
69-70,0.018452,"78,930","1,456","78,202","1,275,947",16.2,,,
70-71,0.019976,"77,474","1,548","76,700","1,197,745",15.5,,,
71-72,0.021736,"75,926","1,650","75,101","1,121,045",14.8,,,
72-73,0.023687,"74,276","1,759","73,396","1,045,943",14.1,,,
73-74,0.025963,"72,517","1,883","71,575","972,547",13.4,,,
74-75,0.0285,"70,634","2,013","69,627","900,971",12.8,,,
75-76,0.03112,"68,621","2,135","67,553","831,344",12.1,,,
76-77,0.034014,"66,485","2,261","65,355","763,791",11.5,,,
77-78,0.03738,"64,224","2,401","63,024","698,436",10.9,,,
78-79,0.041272,"61,823","2,552","60,548","635,412",10.3,,,
79-80,0.045547,"59,272","2,700","57,922","574,865",9.7,,,
80-81,0.050131,"56,572","2,836","55,154","516,943",9.1,,,
81-82,0.055106,"53,736","2,961","52,256","461,789",8.6,,,
82-83,0.061029,"50,775","3,099","49,226","409,533",8.1,,,
83-84,0.067705,"47,676","3,228","46,062","360,308",7.6,,,
84-85,0.075068,"44,448","3,337","42,780","314,246",7.1,,,
85-86,0.08424,"41,112","3,463","39,380","271,466",6.6,,,
86-87,0.093716,"37,648","3,528","35,884","232,086",6.2,,,
87-88,0.104067,"34,120","3,551","32,345","196,201",5.8,,,
88-89,0.115332,"30,569","3,526","28,807","163,857",5.4,,,
89-90,0.127539,"27,044","3,449","25,319","135,050",5,,,
90-91,0.140709,"23,595","3,320","21,935","109,731",4.7,,,
91-92,0.154848,"20,275","3,139","18,705","87,796",4.3,,,
92-93,0.169949,"17,135","2,912","15,679","69,091",4,,,
93-94,0.185987,"14,223","2,645","12,900","53,412",3.8,,,
94-95,0.202921,"11,578","2,349","10,403","40,512",3.5,,,
95-96,0.220689,"9,228","2,037","8,210","30,109",3.3,,,
96-97,0.239209,"7,192","1,720","6,332","21,899",3,,,
97-98,0.258384,"5,471","1,414","4,765","15,567",2.8,,,
98-99,0.278095,"4,058","1,128","3,493","10,802",2.7,,,
99-100,0.298212,"2,929",874,"2,493","7,309",2.5,,,
100 and over,1,"2,056","2,056","4,816","4,816",2.3,,,
